region,region,hemi,func_grad,x.mni,y.mni,z.mni,OMEGA_dir,HCP_dir,grad_1_coord,grad_2_coord
G cingul-Post-ventral,LL,left,1,-9.817,-46.978,5.625,1.352453559,1.34294737,3.400679754,-1.307821568
G cingul-Post-ventral,RL,right,1,10.218,-49.055,7.38,1.289125248,1.228102621,1.477241775,-2.321856367
G cuneus,LO,left,3,-5.703,-82.559,15.05,1.36511627,1.339451384,-6.450755961,-6.282210645
G cuneus,RO,right,3,6.428,-81.143,17.312,1.316895312,1.297809563,-6.414533326,-6.249137431
G front inf-Opercular,LF,left,1,-50.085,11.87,7.46,1.308901626,1.303050767,1.650409893,1.489109275
G front inf-Opercular,RF,right,2,50.918,9.801,8.232,1.351434451,1.322089325,-1.433162952,1.733680658
G front inf-Orbital,LF,left,1,-44.306,30.741,-10.499,1.30133422,1.289773359,9.461190474,0.797041208
G front inf-Orbital,RF,right,1,47.925,32.35,-6.988,1.329729448,1.35261758,9.219997734,0.694492974
G front inf-Triangul,LF,left,1,-48.826,29.933,3.848,1.284784677,1.323669347,7.766837604,0.593862568
G front inf-Triangul,RF,right,1,51.05,28.051,6.786,1.315914326,1.343975037,5.327877573,0.489381715
G front middle,LF,left,1,-37.27,29.7,31.553,1.310261206,1.308052906,6.631014844,0.408202473
G front middle,RF,right,1,38.204,29.401,30.849,1.334989695,1.329503817,6.608885013,0.300180236
G front sup,LF,left,1,-9.03,21.65,51.327,1.326773639,1.313279907,3.84458231,1.473835034
G front sup,RF,right,1,9.28,22.781,52.457,1.353318489,1.35045389,4.589077744,1.293428999
G insular short,LT,left,2,-35.043,8.586,-2.554,1.315096167,1.301436027,-1.52895087,1.576873095
G insular short,RT,right,2,36.318,9.454,-2.202,1.292768886,1.306493276,-1.904823664,1.665514585
G oc-temp lat-fusifor,LT,left,3,-35.646,-53.889,-17.966,1.28808018,1.277787336,-3.786755782,-5.655842328
G oc-temp lat-fusifor,RT,right,3,34.63,-52.534,-17.037,1.344889224,1.332456656,-4.33597534,-6.019346721
G oc-temp med-Lingual,LO,left,3,-11.197,-73.654,-5.086,1.332281526,1.316372673,-6.250366185,-6.572605469
G oc-temp med-Lingual,RO,right,3,12.425,-67.656,-4.46,1.344392015,1.324818064,-6.153258067,-6.429537014
G oc-temp med-Parahip,LT,left,1,-23.67,-19.45,-26.838,1.328287948,1.310756615,3.319951606,-1.028358741
G oc-temp med-Parahip,RT,right,1,25.122,-16.652,-27.74,1.318725661,1.322325289,1.568919614,-1.480678842
G occipital middle,LO,left,3,-39.239,-82.374,11.232,1.330794261,1.32674491,-4.256978487,-5.545864651
G occipital middle,RO,right,3,40.033,-79.453,12.821,1.322850361,1.323693615,-3.804633165,-5.12294791
G occipital sup,LO,left,3,-14.847,-86.955,26.707,1.341438805,1.312736111,-6.359206824,-6.821505726
